ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
9401,5,146,39.908,4.3,3.46,715.2014652,26.90693026,1.665939511
1435,2,238,42.1755,3.8,3.51,732.0512821,27.19557473,1.646836776
1882,1,37,39.4545,4.66,2.98,597.3809524,23.42512641,1.882715131
9280,4,396,40.815,4.07,3.51,760.989011,27.85575159,1.625480747
1909,1,69,37.187,5.09,3.17,599.1326531,24.36039708,1.79958792
1383,2,277,38.094,4.46,3.9,739.1941392,27.18927537,1.631289224
1783,1,152,38.5475,4.48,3.67,611.8367347,24.51706645,1.75033416
9719,4,212,49.4315,2.71,3.27,727.2893773,27.10992261,1.651827513
1313,2,210,37.187,4.91,3.48,726.9230769,27.19460357,1.657672141
1084,3,138,40.3615,4.2,3.42,713.7362637,26.86069083,1.666568456
1162,3,115,50.3385,2.84,2.75,709.5238095,27.06359586,1.689441478
1831,1,169,35.8265,5.15,3.6,614.4387755,24.62629524,1.750870833
1517,2,110,46.7105,2.93,3.52,708.6080586,26.45899052,1.655842572
1927,1,122,39.001,4.4,3.47,607.244898,24.42315259,1.756593157
1560,2,12,34.9195,5.27,3.76,720.2380952,21.89614993,2.023463949
1810,1,137,34.9195,5.33,3.65,609.5408163,24.4617894,1.752673351
1929,1,107,34.0125,5.81,3.24,604.9489796,24.57729725,1.77363585
1835,1,160,37.6405,4.64,3.57,613.0612245,24.50325383,1.746496146
1418,2,239,38.5475,4.39,3.63,732.2344322,27.06595998,1.638631341
1218,2,318,34.0125,5.49,3.79,746.7032967,27.40371572,1.628351167
213,3,137,41.2685,3.82,3.59,713.5531136,26.60508389,1.651510844
9706,4,189,35.373,5.28,3.46,723.0769231,27.0341052,1.656288254
1891,1,110,39.908,4.11,3.56,605.4081633,24.24664627,1.751399155
1549,2,116,36.7335,4.93,3.42,709.7069597,26.70221814,1.667370334
8581,6,244,47.164,2.94,3.27,733.1501832,27.1289792,1.640492063
1953,1,91,37.6405,4.59,3.6,602.5,24.14927527,1.757938503
1716,1,291,37.187,4.66,3.67,633.1122449,24.85614153,1.721938454
9872,4,88,48.071,2.82,3.21,704.5787546,26.42136433,1.669746079
8789,6,203,38.5475,4.25,3.79,725.6410256,26.76124151,1.634192686
1483,2,180,33.1055,5.57,4.02,721.4285714,26.67852467,1.638257597
1720,1,282,33.1055,5.61,3.91,631.7346939,24.74506095,1.718133279
1861,1,150,36.28,4.82,3.7,611.5306122,24.32541532,1.739048384
9477,4,330,37.6405,4.39,3.86,748.9010989,27.21538947,1.612264264
1174,3,80,53.513,1.95,3.4,703.1135531,26.02012976,1.653739573
1836,1,167,30.3845,6.6,3.71,614.1326531,24.49570682,1.743454734
1023,3,278,38.094,4.2,3.95,739.3772894,26.90058415,1.613216492
1373,2,258,41.2685,3.92,3.21,735.7142857,27.22109062,1.640596645
1455,2,216,41.722,3.65,3.52,728.021978,26.82117542,1.632734492
1371,2,210,42.1755,3.68,3.3,726.9230769,26.93307113,1.641931168
1922,1,82,38.5475,4.52,3.15,601.122449,24.21991258,1.771292146
1782,1,191,39.001,4.33,3.3,617.8061224,24.58769737,1.740554138
1067,3,193,39.001,4.05,3.8,723.8095238,26.59703808,1.628028426
1414,2,244,33.1055,5.21,4.49,733.1501832,26.58481551,1.606959819
9464,4,353,39.001,4.1,3.7,753.1135531,27.29969362,1.608490886
1401,2,205,32.1985,5.74,4.03,726.007326,26.69262357,1.629171168
9874,3,291,42.629,3.58,3.25,741.7582418,27.23270965,1.628478652
1768,1,232,43.0825,3.34,3.51,624.0816327,24.43597659,1.716297305
1834,1,181,34.9195,4.95,3.9,616.2755102,24.22318777,1.721046633
9922,3,334,35.373,4.87,3.81,749.6336996,27.19014717,1.609159981
1515,2,138,41.722,3.78,3.16,713.7362637,26.66110678,1.654494494
1298,2,330,40.3615,3.83,3.54,748.9010989,27.19918557,1.611271493
